Genesis
[Genesis 3:16]	הֵֽרֹנֵ֔	הֵרוֹן	pregnancy	
[Isaiah 48:9]	אֶחֱטָם	חטם	to restrain oneself	
[Isaiah 48:13]	טִפְּחָ֣ה	טפח 1	to spread out	
[Isaiah 48:19]	מְעֹתָ֑י	מָעָה	grain	
[Isaiah 49:6]	וּנְצִירֵי	נָצִיר	preserved	
[Isaiah 49:19]	הֲרִֽסֻת	הֲרִיסוּת	ruins	
[Isaiah 49:20]	שִׁכֻּלָ֑י	שִׁכֻּלִים	bereavement, childlessness	
[Isaiah 49:21]	שְׁכוּלָ֖ה	שָׁכוּל	bereaved of children	
[Isaiah 50:3]	קַדְר֑וּת	קַדְרוּת	eclipse, darkness	
[Isaiah 50:11]	מַעֲצֵבָ֖ה	מַעֲצֵבָה	place of torment	
[Isaiah 51:6]	נִמְלָ֙חוּ֙	מלח 1	to be torn to pieces, scatter	
[Isaiah 51:8]	סָ֑ס	סָס	clothes moth	
[Isaiah 51:21]	שְׁכֻרַ֖ת	שָׁכֻר	drunken	
[Isaiah 52:2]	שְׁבִיָּ֖ה	שָׁבִי	someone carried away captive	
[Isaiah 52:14]	מִשְׁחַ֥ת	מִשְׁחַת	disfigurement; deformed	
[Isaiah 53:3]	מַסְתֵּ֤ר	מַסְתֵּר	hiding, act of hiding	
[Isaiah 53:11]	דַעְתּ֗	דַּ֫עַת 3	sweat	
[Isaiah 54:8]	שֶׁ֣צֶף	שֶׁ֫צֶף	flowing, streaming	
[Isaiah 54:12]	אֶקְדָּ֑ח	אֶקְדָּח	beryl, a precious stone	
[Isaiah 55:13]	סִּרְפַּ֖ד	סִרְפָּד	stinging nettle	
[Isaiah 56:10]	נְבֹּ֑חַ	נבח	to bark	
[Isaiah 56:10]	הֹזִים֙	הזה	(pt.) to pant in its sleep	
[Isaiah 57:9]	רִקֻּחָ֑י	רִקֻּחַ	ointment	
[Isaiah 57:13]	קִבּוּצַ֔י	קִבּוּץ	pantheon (collection of gods); idols, 'collected things'; statue	
[Isaiah 57:19]	נוּב	נוֹב	fruit	
[Isaiah 57:20]	רֶ֥פֶשׁ	רֶ֫פֶשׁ	mud and grime	
[Isaiah 58:3]	עַצְּבֵי	עָצֵב	hard worker, laborer	
[Isaiah 58:11]	צַחְצָחוֹת֙	צַחְצָחוֹת	arid regions	
[Isaiah 59:9]	נְגֹה֖וֹת	נְגֹהוֹת	gleam of light	
[Isaiah 59:10]	אַשְׁמַנִּ֖ים	אַשְׁמָן	fat, healthy?; uninhabited place, grave?; darkness?	
[Isaiah 59:17]	תִּלְבֹּ֔שֶׁת	תִּלְבֹּ֫שֶׁת	clothing	
[Isaiah 60:3]	זַרְחֵֽ	זֶ֫רַח 1	shining forth; sunrise	
[Isaiah 60:6]	בִּכְרֵ֤י	בֵּ֫כֶר	young male camel	
[Isaiah 61:1]	פְּקַח קֽוֹחַ	פְּקַח־קוֹחַ	liberation	
[Isaiah 61:3]	מַעֲטֵ֣ה	מַעֲטֶה	covering; outer garment, mantle	
[Isaiah 61:10]	יְעָטָ֑	יעט	to wrap up, cover	
[Isaiah 62:3]	וּצְנוֹף	צָנִוּף	headband	
[Isaiah 63:1]	חֲמ֤וּץ	חָמוּץ	bright red	
[Isaiah 63:4]	גְּאוּלַ֖	גְּאוּלִים	blood-revenge	
[Isaiah 64:1]	הֲמָסִ֗ים	הֲמָסִים	brushwood	
[Isaiah 64:5]	עִדִּ֖ים	עִדָּה	menstrual period	
[Isaiah 65:4]	נְּצוּרִ֖ים	נְצוּרִים	secret places, caverns	
[Isaiah 65:4]	וּפְרַק	פָּרָק	crumbled	
[Isaiah 66:11]	תָּמֹ֛צּוּ	מצץ	to slurp, lap	
[Isaiah 66:11]	זִּ֥יז	זִיז 2	nipple	
[Isaiah 66:20]	כִּרְכָּר֗וֹת	כִּרְכָּרָה	(trad.) she-camel; (alt.) chariot	

Jeremiah
[Jeremiah 2:2]	כְּלוּלֹתָ֑י	כְּלוּלֹת	betrothal-time, being a bride	
[Jeremiah 2:11]	הֵימִ֥יר	ימר	to exchange; to boast, brag	
[Jeremiah 2:19]	פַחְדָּת	פַּחְדָּה	fear	
[Jeremiah 2:22]	נִכְתָּ֤ם	כתם	to stick as a stain	
[Jeremiah 2:23]	בִּכְרָ֥ה	בִּכְרָה	young she-camel	
[Jeremiah 2:23]	מְשָׂרֶ֥כֶת	שׂרך	to run about senselessly	
[Jeremiah 2:24]	תַּאֲנָת	תַּאֲנָה	rutting time	
[Jeremiah 2:25]	צִּמְאָ֑ה	צִמְאָה	thirst	
[Jeremiah 2:31]	מַאְפֵּ֖לְיָ֑ה	מַאְפֵּלְיָה	darkness	
[Jeremiah 3:9]	קֹּ֣ל	קֹל	thoughtlessness	
[Jeremiah 4:31]	תִּתְיַפֵּ֖חַ	יפח	to gasp for breath, to groan	
[Jeremiah 5:8]	מְיֻזָּנִ֖ים	יזן	to be on heat	
[Jeremiah 5:8]	מַשְׁכִּ֣ים	שׁכה	(pt.) possessing testicles, with visible testicle	
[Jeremiah 5:10]	שָׁרוֹתֶ֙י	שָׁרָה	row, terrace	
[Jeremiah 5:13]	דִּבֵּ֖ר	דִּבֵּר	word of God	
[Jeremiah 5:28]	עָשְׁת֗וּ	עשׁת 2	to be/become corpulent	
[Jeremiah 6:6]	עֵצָ֔ה	עֵצָה 3	wood	
[Jeremiah 6:9]	סַלְסִלּֽוֹת	סַלְסִלָּה	tendrils	
[Jeremiah 6:16]	מַרְגּ֖וֹעַ	מַרְגּוֹעַ	resting place	
[Jeremiah 6:27]	בָּח֛וֹן	בָּחוֹן	assayer	
[Jeremiah 6:29]	נָחַ֣ר	נחר	to puff; to be angry	
[Jeremiah 6:29]	מַפֻּ֔חַ	מַפֻּחַ	bellows	
[Jeremiah 8:15]	מַרְפֵּ֖ה	מַרְפֵּה	healing; remedy	
[Jeremiah 8:16]	נַחְרַ֣ת	נַחֲרָה	snorting	
[Jeremiah 8:18]	מַבְלִ֥יגִית	מַבְלִיגִית	without healing; (alt.) smiling, cheerfulness, source of brightening	
[Jeremiah 10:5]	תֹ֨מֶר	תֹּ֫מֶר 2	a decorated, palm-shaped pillar; a richly carved palm tree; a construction from palm wood; fine metalwork; (trad.) scarecrow	
[Jeremiah 10:7]	יָאָ֑תָה	יאה	to be proper, fitting	
[Jeremiah 10:8]	יִכְסָ֑לוּ	כסל	to be stupid	
[Jeremiah 10:17]	כִּנְעָת	כִּנְעָה	bundle, pack, load	
[Jeremiah 12:7]	יְדִד֥וּת	יְדִדוּת	loved one	
[Jeremiah 12:9]	צָב֤וּעַ	צָבוּעַ	hyena	
[Jeremiah 13:23]	חֲבַרְבֻּרֹתָ֑י	חֲבַרְבֻּרוֹת	skin-specks	
[Jeremiah 14:9]	נִדְהָ֔ם	דהם	(pt.) astounded, confused	
[Jeremiah 14:14]	וְתַרְמוּת	תַּרְמוּת	deceitfulness, betrayal	
[Jeremiah 14:22]	מַגְשִׁמִ֔ים	גשׁם	to cause rain to pour; to be rained upon	
[Jeremiah 15:11]	שָׁרוֹתִךָ	שׁרר 2	to make abundant; to intervene	
[Jeremiah 16:13]	חֲנִינָֽה	חֲנִינָא	compassion	
[Jeremiah 16:16]	דִיג֑וּ	דיג	to fish out	
[Jeremiah 16:16]	צַיָּדִ֔ים	צַיָּד	hunter	
[Jeremiah 17:6]	עַרְעָ֣ר	עַרְעָר 2	juniper; (trad.) tamarisk	
[Jeremiah 17:6]	חֲרֵרִים֙	חֲרֵרִים	lava field, stone desert	
[Jeremiah 17:8]	יוּבַל֙	יוּבַל	water-course, canal	
[Jeremiah 17:8]	בַּצֹּ֙רֶת֙	בַּצֹּ֫רֶת	drought	
[Jeremiah 18:16]	שְׁרוּקַת	שְׁרוּקַת	whistling, hissing	
[Jeremiah 22:3]	עָשׁ֑וֹק	עָשׁוֹק	oppressor	
[Jeremiah 22:17]	מְּרוּצָ֖ה	מְרוּצָה 2	extortion	
[Jeremiah 22:28]	עֶ֨צֶב	עֶ֫צֶב 1	pottery vessel	
[Jeremiah 23:15]	חֲנֻפָּ֖ה	חֲנֻפָּה	ungodliness	
[Jeremiah 23:31]	יִּנְאֲמ֖וּ	נאם	to say; to utter a prophecy, speak as prophet	
[Jeremiah 23:32]	פַחֲזוּת	פַּחֲזוּת	boasting	
[Jeremiah 23:40]	כְלִמּ֣וּת	כְּלִמּוּת	insult	
[Jeremiah 25:1]	רִ֣אשֹׁנִ֔ית	רִאשׁוֹנִי	first	
[Jeremiah 25:34]	תְפוֹצ֣וֹתִי	תְּפוֹצָה	dispersion	
[Jeremiah 27:9]	כַּשָּׁפֵי	כַּשָּׁף	sorcerer	
[Jeremiah 29:17]	שֹּׁ֣עָרִ֔ים	שֹׁעָר	rotten; horrid, disgusting	
[Jeremiah 29:26]	צִּינֹֽק	צִינֹק	neck iron	
[Jeremiah 31:20]	יַקִּ֨יר	יַקִּיר	precious, dear	
[Jeremiah 31:21]	תַּמְרוּרִ֔ים	תַּמְרוּר 2	signpost, way-marker	
[Jeremiah 31:40]	הַשְּׁרֵמוֹת	שְׁרֵמוֹת	terraces; fields	
[Jeremiah 32:19]	עֲלִֽילִיָּ֑ה	עֲלִילִיָּה	in deed	
[Jeremiah 32:30]	נְּעֻרֹֽתֵי	נְעֻרוֹת	youth	
[Jeremiah 33:6]	עֲתֶ֥רֶת	עֲתֶ֫רֶת	wealth, abundance	
[Jeremiah 36:18]	דְּיֽוֹ	דְּיוֹ	ink	
[Jeremiah 37:13]	פְּקִדֻ֔ת	פְּקִדֻת	supervision	
[Jeremiah 37:16]	חֲנֻ֑יוֹת	חָנוּת	vault	
[Jeremiah 38:22]	בֹּ֛ץ	בֹּץ	silt	
[Jeremiah 39:10]	יגֵבִ֖ים	יָגֵב	field	
[Jeremiah 41:17]	גֵר֣וּת	גֵּרוּת	fief	
[Jeremiah 42:6]	אֲנוּ	אֲנוּ	we	
[Jeremiah 43:9]	מֶּ֙לֶט֙	מֶ֫לֶט	clay floor	
[Jeremiah 44:21]	קִּטֵּ֗ר	קִטֵּר	what has been sacrificed; smoke of sacrifice; flour offering	
[Jeremiah 46:20]	יְפֵֽה פִיָּ֖ה	יְפֵה־פִיָּה	very beautiful	
[Jeremiah 46:20]	קֶ֥רֶץ	קֶ֫רֶץ	horse-fly; (alt.) sting or nip	
[Jeremiah 47:3]	שַֽׁעֲטַת֙	שְׁעָטָה	stamping	
[Jeremiah 47:3]	רִפְי֖וֹן	רִפָּיוֹן	debility	
[Jeremiah 48:6]	עֲרוֹעֵ֖ר	עֲרוֹעֵר 1	juniper tree	
[Jeremiah 48:9]	צִ֣יץ	צִיץ 2	salt	
[Jeremiah 48:9]	נָצֹ֖א	נצא	to fly	
[Jeremiah 48:26]	סָפַ֤ק	ספק 2	to vomit	
[Jeremiah 48:37]	גְּדֻדֹ֔ת	גְּדוּדָה	incision	
[Jeremiah 48:44]	הַנִּיס	נִיס	flight	
[Jeremiah 49:7]	נִסְרְחָ֖ה	סרח 2	to be stinking, rotting	
[Jeremiah 49:16]	תִּֽפְלַצְתּ	תִּפְלֶ֫צֶת	trembling, fright; terrifying	
[Jeremiah 49:24]	רֶ֣טֶט	רֶ֫טֶט	terror	
[Jeremiah 50:17]	עִצְּמ֔	עצם 2	to gnaw bones	
[Jeremiah 50:26]	מַאֲבֻסֶ֔י	מַאֲבוּס	granary	
[Jeremiah 51:5]	אַלְמָ֨ן	אַלְמָן 1	widower	
[Jeremiah 51:20]	מַפֵּץ	מַפֵּץ	mace	
[Jeremiah 51:27]	סָמָֽר	סָמָר	bristly	
[Jeremiah 51:32]	אֲגַמִּ֖ים	אֲגַם 2	outwork (of a fort); (trad. reed, rush)	
[Jeremiah 51:34]	כְרֵשׂ֖	כָּרֵשׂ	belly	
[Jeremiah 51:38]	נָעֲר֖וּ	נער 1	to growl	
[Jeremiah 51:44]	בִּלְע	בֶּ֫לַע 1	what has been swallowed	

Ezekiel
[Ezekiel 1:14]	רָצ֣וֹא	רצא	to run	
[Ezekiel 1:14]	בָּזָֽק	בָּזָק	flash of lightning	
[Ezekiel 2:6]	סָרָבִ֤ים	סָרָב	prickly plant; obstinate	
[Ezekiel 2:10]	הִֽי	הִי	woe	
[Ezekiel 4:9]	דֹ֣חַן	דֹּ֫חַן	millet	
[Ezekiel 4:10]	מִשְׁק֕וֹל	מִשְׁקוֹל	weight	
[Ezekiel 4:12]	תְּעֻגֶ֖	עוג 1	to bake	
[Ezekiel 4:15]	צְפוּעֵי	צָפוּעַ	animal droppings, dung	
[Ezekiel 5:1]	גַּלָּבִים֙	גַּלָּב	barber	
[Ezekiel 5:15]	גְדוּפָה֙	גִּדּוּפָה	abuse	
[Ezekiel 7:7]	הֵ֥ד	הֵד	thunderbolt	
[Ezekiel 7:11]	הֱמֵהֶ֖	הֵ֫מֶה	noise	
[Ezekiel 7:11]	נֹ֥הַּ	נֹהַּ	eminency, distinction	
[Ezekiel 7:14]	תָּק֙וֹעַ֙	תָּקוֹעַ	a wind instrument	
[Ezekiel 7:23]	רַתּ֑וֹק	רַתּוֹק	chain	
[Ezekiel 7:25]	קְפָ֖דָה	קְפָדָה	anguish, apprehension	
[Ezekiel 8:5]	בִּאָֽה	בִּאָה	entrance	
[Ezekiel 8:11]	עֲתַ֥ר	עָתָר 2	smoke	
[Ezekiel 9:1]	מַשְׁחֵת֖	מַשְׁחֵת	annihilation	
[Ezekiel 9:2]	מַפָּצ	מַפָּץ	smashing, destruction	
[Ezekiel 9:9]	מֻטֶּ֑ה	מֻטֶּה	bending, twisting	
[Ezekiel 12:18]	רָגְזָ֥ה	רָגְזָה	excitement, quivering	
[Ezekiel 13:10]	הִטְע֧וּ	טעה	to wander about; to lead astray	
[Ezekiel 13:10]	חַ֔יִץ	חַ֫יִץ	interior wall	
[Ezekiel 13:12]	טִּ֖יחַ	טִיחַ	clay-coating	
[Ezekiel 13:19]	פְת֣וֹתֵי	פְּתוֹת	crumb, morsel	
[Ezekiel 16:4]	מִשְׁעִ֑י	מִשְׁעִי	purification, cleansing	
[Ezekiel 16:5]	חֻמְלָ֣ה	חֻמְלָה	compassion	
[Ezekiel 16:5]	גֹ֣עַל	גֹּ֫עַל	disdain	
[Ezekiel 16:30]	אֲמֻלָה֙	אמל 2	(pt.) hot with fever	
[Ezekiel 16:30]	לִבָּת	לִבָּה	rage	
[Ezekiel 16:30]	שַׁלָּֽטֶת	שַׁלֶּ֫טֶת	mighty	
[Ezekiel 16:33]	נֵ֑דֶה	נֵ֫דֶה	gift, payment	
[Ezekiel 16:33]	נְדָנַ֙י	נָדָן 2	present, cost of a prostitute	
[Ezekiel 16:36]	נְחֻשְׁתּ	נְחֹ֫שֶׁת 2	menstruation; shame	
[Ezekiel 16:40]	בִתְּק֖וּ	בתק	to slaughter	
[Ezekiel 16:47]	קָ֔ט	קָט	small	
[Ezekiel 16:49]	שִׂבְעַת	שִׂבְעָה	satiation, surfeit	
[Ezekiel 17:4]	יְנִֽיקוֹתָ֖י	יְנִיקָה	shoot	
[Ezekiel 17:5]	קָ֚ח	קָח	meadow	
[Ezekiel 17:5]	צַפְצָפָ֖ה	צַפְצָפָה	willow	
[Ezekiel 17:7]	כָּֽפְנָ֧ה	כפן	to turn towards	
[Ezekiel 17:9]	יְקוֹסֵ֣ס	קסס	to tear out, pluck out	
[Ezekiel 17:22]	תָלֽוּל	תָּלוּל	lofty	
[Ezekiel 18:7]	חֲבֹלָת֥	חֲבֹלָה	pledge	
[Ezekiel 18:7]	חוֹב֙	חוֹב	guilt	
[Ezekiel 19:2]	לְבִיָּ֔א	לְבִיָּא	lioness	
[Ezekiel 19:9]	סּוּגַר֙	סוּגַר	collar	
[Ezekiel 19:10]	עֲנֵפָ֔ה	עָנֵף	thick with branches	
[Ezekiel 20:37]	מָסֹ֥רֶת	מָסֹ֫רֶת	(trad.) connection or tradition; to bring in without counting	
[Ezekiel 21:3]	נִצְרְבוּ	צרב	to be scorched	
[Ezekiel 21:11]	מְרִיר֔וּת	מְרִירוּת	bitterness, grief	
[Ezekiel 21:18]	בֹ֔חַן	בֹּ֫חַן 1	examination	
[Ezekiel 21:19]	חֹדֶ֖רֶת	חדר	to enter, penetrate deeply	
[Ezekiel 21:20]	אִבְחַת	אִבְחָה	slaughter	
[Ezekiel 21:20]	מְעֻטָּ֥ה	מְעֻטָּה	few, little; alt. withdrawn	
[Ezekiel 21:21]	הִתְאַחֲדִ֥י	אחד	to turn backwards	
[Ezekiel 22:4]	קַלָּסָ֖ה	קַלָּסָה	mockery	
[Ezekiel 22:18]	לְסוּג	סוּג	galina, silver dross	
[Ezekiel 22:20]	קְבֻ֣צַת	קְבֻצָה	an assemblage	
[Ezekiel 22:22]	הִתּ֥וּךְ	הִתּוּךְ	melting	
[Ezekiel 22:24]	גֻשְׁמָ֖	גֹּ֫שֶׁם	rain, showers	
[Ezekiel 23:15]	חֲגוֹרֵ֨י	חָגוֹר	girded	
[Ezekiel 23:15]	טְבוּלִים֙	טְבוּלִים	turban	
[Ezekiel 23:24]	הֹ֠צֶן	הֹ֫צֶן	from the north (LXX)? multitude? with arms, rattling?	
[Ezekiel 23:32]	מִרְבָּ֥ה	מִרְבָּה	amplitude, fullness	
[Ezekiel 23:40]	כָּחַ֥לְתְּ	כחל	to paint	
[Ezekiel 24:5]	דּ֥וּר	דור 1	to stack in circles	
[Ezekiel 24:5]	רְתָחֶ֔י	רֶ֫תַח	boiling	
[Ezekiel 24:12]	תְּאֻנִ֖ים	תְּאֻנִים	toil	
[Ezekiel 24:21]	מַחְמַ֣ל	מַחְמָל	longing	
[Ezekiel 24:26]	הַשְׁמָע֖וּת	הַשְׁמָעוּת	information	
[Ezekiel 25:7]	לְבַג	בַּג	plunder, spoil?	
[Ezekiel 26:4]	סִֽחֵיתִ֥י	סחה	to sweep away	
[Ezekiel 26:9]	מְחִ֣י	מְחִי	thrust	
[Ezekiel 26:9]	קָֽבָלּ֔	קְבֹל	a siege-engine, battering-ram	
[Ezekiel 27:15]	סְחֹרַ֣ת	סְחֹרָה	commercial activity	
[Ezekiel 27:17]	מִ֠נִּית	מִנִּית 2	rice	
[Ezekiel 27:17]	פַנַּ֨ג	פַּנַּג	uncertain product: cake, oil, cinnamon, sweetmeats, millet, balsam, opopanax	
[Ezekiel 27:19]	עָשׁוֹת֙	עָשׁוֹת	worked, treated	
[Ezekiel 27:20]	חֹ֖פֶשׁ	חֹ֫פֶשׁ	(woolen?) material (for saddlecloths)	
[Ezekiel 27:20]	רִכְבָּֽה	רִכְבָּה	riding	
[Ezekiel 27:24]	מַכְלֻלִ֔ים	מַכְלוּל	ornate robe	
[Ezekiel 27:24]	גְלוֹמֵי֙	גְּלוֹם	cloak, wrap	
[Ezekiel 27:24]	גִנְזֵ֖י	גֶּ֫נֶז 2	woolen covers, blankets, or boxes	
[Ezekiel 27:24]	בְּרֹמִ֑ים	בְּרֹמִים	two-colored fabric	
[Ezekiel 27:24]	אֲרֻזִ֖ים	אָרוּז	solidly made (rope)	
[Ezekiel 27:24]	מַרְכֻלְתּ	מַרְכֹּ֫לֶת	trading	
[Ezekiel 27:32]	נִי	נִי	wailing	
[Ezekiel 27:32]	דֻמָ֖ה	דֻּמָה	something destroyed	
[Ezekiel 28:13]	מְסֻכָת	מְסֻכָה	cover, raiment or wrapping	
[Ezekiel 28:13]	בָרְקַ֖ת	בָּֽרְקַת	(dark-green) beryl	
[Ezekiel 28:13]	נְקָבֶ֙י	נֶ֫קֶב	passage, mine	
[Ezekiel 28:14]	מִמְשַׁ֖ח	מִמְשַׁח	stretched full length; with outstretched wings; (alt.) sparkling	
[Ezekiel 28:17]	רַ֥אֲוָה	רַאֲוָה	seeing with pleasure, reveling	
[Ezekiel 30:2]	הָ֥הּ	הָהּ	alas!	
[Ezekiel 30:21]	חִתּ֛וּל	חִתּוּל	bandage; splint	
[Ezekiel 31:5]	סַֽרְעַפֹּתָ֜י	סַרְעַפָּה	branch	
[Ezekiel 31:15]	עֻלְפֶּֽה	עֻלְפֶּה	faint	
[Ezekiel 32:5]	רָמוּת	רָמוּת	high pile of corpses; (alt.) waste, refuse	
[Ezekiel 32:6]	צָפָת	צָפָה	discharge; flow	
[Ezekiel 33:30]	חַ֣ד	חַד 2	one	
[Ezekiel 34:12]	בַקָּרַת֩	בַּקָּרָה	(a shepherd’s) care	
[Ezekiel 34:18]	מִשְׁקַע	מִשְׁקָע	clear water	
[Ezekiel 34:19]	מִרְפַּ֥שׂ	מִרְפָּשׂ	muddied waterhole	
[Ezekiel 35:7]	שִֽׁמְמָ֖ה	שִֽׁמְמָ֫ה	deserted, uninhabited regions; wasteland	
[Ezekiel 36:11]	רִאשֹׁ֣תֵי	רִאשָׁה	origins, beginnings	
[Ezekiel 36:35]	הַלֵּ֙זוּ֙	הַלֵּ֫זוּ	this here (f.)	
[Ezekiel 39:2]	שִׁשֵּׁאתִ֔י	שׁשׁא	to lead along on a rope	
[Ezekiel 40:2]	מִבְנֵה	מִבְנֶה	building, structure	
[Ezekiel 41:7]	מֽוּסַב	מוּסָב	the circuit (of a house); that which surrounds	
[Ezekiel 41:13]	בִּנְיָה֙	בִּנָיָה	building	
[Ezekiel 41:15]	וְאַתּוּקֵיהָא	אַתּוּק	unc. archt. term: passage, street? overhang?	
[Ezekiel 41:16]	שְׂחִ֥יף	שָׂחִיף	covering, overlay	
[Ezekiel 42:5]	קְצֻר֑וֹת	קָצוּר	shortened, smaller	
[Ezekiel 42:12]	גְּדֶ֣רֶת	גְּדֶ֫רֶת	wall	
[Ezekiel 42:12]	הֲגִינָ֔ה	הֲגִינָה	protecting wall	
[Ezekiel 43:15]	הַרְאֵ֖ל	הַרְאֵל	altar for burnt offerings	
[Ezekiel 44:18]	יָּֽזַע	יֶ֫זַע	sweat	
[Ezekiel 45:9]	גְרֻשֹֽׁתֵי	גְּרֻשָׁה	eviction	
[Ezekiel 45:13]	שִׁשִּׁיתֶם֙	שׁשׁה	to divide into six parts	
[Ezekiel 46:14]	רֹ֣ס	רסס	to splash, spray	
[Ezekiel 46:22]	קְטֻר֔וֹת	קְטֻרוֹת	rising smoke; lying in a row	
[Ezekiel 46:23]	מְבַשְּׁל֣וֹת	מְבַשְּׁלוֹת	cooking hearth	
[Ezekiel 47:2]	מְפַכִּ֔ים	פכה	to spurt out	
[Ezekiel 47:3]	אָפְסָֽיִם	אֹ֫פֶס	ankle	
[Ezekiel 47:5]	שָׂ֔חוּ	שָׂ֫חוּ	swimming	
[Ezekiel 47:8]	קַּדְמוֹנָ֔ה	קַדְמוֹן	to the east	
[Ezekiel 47:12]	תְרוּפָֽה	תְּרוּפָה	healing, medicine	
[Ezekiel 47:13]	גֵּ֤ה	גֵּה	this, these	
[Ezekiel 48:12]	תְּרוּמִיָּ֛ה	תְּרוּמִיָּה	special offering; special portion	

Hosea
[Hosea 2:4]	נַאֲפוּפֶ֖י	נַאֲפוּפִים	offspring of adultery	
[Hosea 2:12]	נַבְלֻת	נַבְלוּת	shame	
[Hosea 2:14]	אֶתְנָ֥ה	אֶתְנָה	gift (to a harlot)	
[Hosea 2:15]	חֶלְיָת	חֶלְיָה	ornament	
[Hosea 3:2]	לֵ֥תֶךְ	לֵ֫תֶךְ	lethech: a measurement of capacity; 1/2 of a kor or a homer	
[Hosea 4:18]	מָגִנֶּֽי	מֶ֫גֶן	gift	
[Hosea 5:2]	שַׁחֲטָ֥ה	שַׁחֲטָה	slaughter, killing	
[Hosea 5:2]	שֵׂטִ֖ים	שֵׂט	swerver, revolter; deeds that swerve	
[Hosea 5:12]	עָ֖שׁ	עָשׁ 2	pus	
[Hosea 5:13]	יִגְהֶ֥ה	גהה	to heal	
[Hosea 7:9]	זָ֣רְקָה	זרק 2	to sneak in	
[Hosea 8:6]	שְׁבָבִ֣ים	שְׁבָבִים	splinters; wood-shavings	
[Hosea 8:13]	הַבְהָבַ֗	הַבְהַב	gift?	
[Hosea 9:4]	יֶֽעֶרְבוּ	ערב 4	to offer	
[Hosea 9:14]	צֹמְקִֽים	צמק	to dry up, wither	
[Hosea 10:1]	בּוֹקֵק֙	בקק 2	(pt.) be luxuriant, to proliferate	
[Hosea 10:6]	בָּשְׁנָה֙	בָּשְׁנָה	shame	
[Hosea 10:7]	קֶ֖צֶף	קֶ֫צֶף 2	snapped-off twig; (alt.) foam	
[Hosea 10:9]	עַֽלְוָֽה	עַלְוָה 1	badness, malice, injustice	
[Hosea 11:4]	אָדָ֤ם	אָדָם 2	leather	
[Hosea 13:1]	רְתֵ֔ת	רְתֵת	quaking, fright	
[Hosea 13:5]	תַּלְאֻבֽוֹת	תַּלְאֻבוֹת	dryness, aridness, parched land	
[Hosea 13:14]	נֹ֖חַם	נֹ֫חַם	compassion	
[Hosea 13:15]	יַפְרִ֑יא	פרא	to show fruitfulness, flourish	

Joel
[Joel 1:7]	קְצָפָ֑ה	קְצָפָה	snapped, splintered	
[Joel 1:8]	אֱלִ֕י	אלה 2	to wail	
[Joel 1:17]	עָבְשׁ֣וּ	עבשׁ	to dry up	
[Joel 1:17]	פְרֻד֗וֹת	פְּרֻדוֹת	what has been put aside, what has been kept for later, stored provisions; seed-corn, seed, grain; dried figs	
[Joel 1:17]	מֶגְרְפֹ֣תֵי	מִגְרָף	shovel, spade; hoe	
[Joel 1:17]	מַמְּגֻר֑וֹת	מַמְּגוּרָה	grain-silo	
[Joel 2:7]	יְעַבְּט֖וּן	עבט 2	to lose the way	
[Joel 2:20]	צְּפוֹנִ֞י	צְפוֹנִי 1	northerner	
[Joel 2:20]	צַחֲנָת֔	צַחֲנָה	stench of decay	
[Joel 4:10]	חַלָּ֔שׁ	חַלָּשׁ	weakling	
[Joel 4:11]	ע֣וּשׁוּ	עושׁ	to hurry	

Amos
[Amos 2:8]	עֲנוּשִׁים֙	עֲנוּשִׁים	penances; fines; collections	
[Amos 3:12]	בְדַל	בָּדָל	earlobe	
[Amos 3:12]	פְאַ֥ת	פֵּאָה 2	splendor; splendid, luxurious; (alt.) side, sideboard	
[Amos 3:12]	דְמֶ֥שֶׁק	דְּמֶ֫שֶׁק	damask, fine silk fabric? head-rest?	
[Amos 4:2]	דּוּגָֽה	דּוּגָה	fishing	
[Amos 4:13]	שֵּׂח֔	שֵׂחַ	conversation, word, discourse, thoughts, plan	
[Amos 5:11]	בּוֹשַׁסְ	בשׁס	to exact corn tax	
[Amos 5:20]	אָפֵ֖ל	אָפֵל	dark	
[Amos 6:5]	פֹּרְטִ֖ים	פרט	to drone, from plucking the strings; to improvise, play impromptu; to sing in clipped tones, to howl, bawl	
[Amos 6:8]	מְתָאֵ֤ב	תאב 2	to make repulsive, desecrate	
[Amos 6:10]	מְסָרְפ֗	סרף	to anoint; (pt.) the one who anoints the corpse with oil	
[Amos 6:11]	רְסִיסִ֑ים	רָסִיס 2	fragment, ruin	
[Amos 7:14]	בוֹקֵ֥ר	בּוֹקֵר	herdsman	
[Amos 7:14]	בוֹלֵ֥ס	בלס	(pt.) picker of sycamore figs	
[Amos 9:9]	כְּבָרָ֔ה	כְּבָרָה 1	sieve	
[Amos 9:11]	הֲרִֽסֹתָי	הֲרִיסָה	ruins	

Obadiah
[Obadiah 1:6]	נִבְע֖וּ	בעה 3	to graze bare; to be grazed bare	
[Obadiah 1:6]	מַצְפֻּנָֽי	מַצְפּוֹן	hidden treasures; hiding places	
[Obadiah 1:7]	מָזוֹר֙	מָזוֹר 2	snare	
[Obadiah 1:9]	קָּֽטֶל	קֶ֫טֶל	murder	
[Obadiah 1:16]	לָע֔וּ	לעע 2	to slurp	

Jonah
[Jonah 1:5]	סְּפִינָ֔ה	סְפִינָה	decked ship	
[Jonah 1:6]	יִתְעַשֵּׁ֧ת	עשׁת 1	to recollect, bear in mind	
